Spheres,Resolution,Time
8,481x481,0.000384
8,481x481,0.000534
8,481x481,0.000375
8,481x481,0.000317
8,481x481,0.000345
8,481x481,0.000342
8,481x481,0.000338
8,481x481,0.000318
8,481x481,0.000320
8,481x481,0.000313
8,481x481,0.000314
8,481x481,0.000314
8,481x481,0.000322
8,481x481,0.000318
8,481x481,0.000686
8,481x481,0.000385
8,481x481,0.000307
8,481x481,0.000344
8,481x481,0.000342
8,481x481,0.000529
8,481x481,0.000355
8,481x481,0.000333
8,481x481,0.000332
8,481x481,0.000322
8,481x481,0.000333
8,481x481,0.000546
8,481x481,0.000575
8,481x481,0.000360
8,481x481,0.000315
8,481x481,0.000313
8,481x481,0.000312
8,481x481,0.000332
8,481x481,0.000324
8,481x481,0.000308
8,481x481,0.000333
8,481x481,0.000333
8,481x481,0.000331
8,481x481,0.000334
8,481x481,0.000531
8,481x481,0.000373
8,481x481,0.000332
8,481x481,0.000326
8,481x481,0.000308
8,481x481,0.000303
8,481x481,0.000303
8,481x481,0.000333
8,481x481,0.000329
8,481x481,0.000327
8,481x481,0.000322
8,481x481,0.000330
