Spheres,Resolution,Time
8,606x606,0.000563
8,606x606,0.000494
8,606x606,0.000484
8,606x606,0.000493
8,606x606,0.000488
8,606x606,0.000487
8,606x606,0.000473
8,606x606,0.000665
8,606x606,0.000988
8,606x606,0.000682
8,606x606,0.000520
8,606x606,0.000459
8,606x606,0.000459
8,606x606,0.000487
8,606x606,0.000472
8,606x606,0.000672
8,606x606,0.000485
8,606x606,0.000487
8,606x606,0.000479
8,606x606,0.000485
8,606x606,0.000700
8,606x606,0.000882
8,606x606,0.000683
8,606x606,0.000652
8,606x606,0.000483
8,606x606,0.000479
8,606x606,0.000483
8,606x606,0.000482
8,606x606,0.000478
8,606x606,0.000479
8,606x606,0.000505
8,606x606,0.000496
8,606x606,0.000518
8,606x606,0.000704
8,606x606,0.000700
8,606x606,0.000525
8,606x606,0.000492
8,606x606,0.000493
8,606x606,0.000490
8,606x606,0.000487
8,606x606,0.000491
8,606x606,0.000487
8,606x606,0.000490
8,606x606,0.000487
8,606x606,0.000488
8,606x606,0.000522
8,606x606,0.000661
8,606x606,0.000519
8,606x606,0.000506
8,606x606,0.000457
