Spheres,Resolution,Time
8,685x685,0.000639
8,685x685,0.000617
8,685x685,0.000593
8,685x685,0.000616
8,685x685,0.000635
8,685x685,0.000596
8,685x685,0.000613
8,685x685,0.000612
8,685x685,0.000619
8,685x685,0.000611
8,685x685,0.000609
8,685x685,0.000614
8,685x685,0.000627
8,685x685,0.000595
8,685x685,0.000606
8,685x685,0.000834
8,685x685,0.001019
8,685x685,0.000615
8,685x685,0.000606
8,685x685,0.000618
8,685x685,0.000594
8,685x685,0.000619
8,685x685,0.000984
8,685x685,0.000669
8,685x685,0.000800
8,685x685,0.000828
8,685x685,0.000628
8,685x685,0.000617
8,685x685,0.000601
8,685x685,0.000600
8,685x685,0.000601
8,685x685,0.000579
8,685x685,0.000958
8,685x685,0.000604
8,685x685,0.000618
8,685x685,0.000591
8,685x685,0.000795
8,685x685,0.001002
8,685x685,0.000605
8,685x685,0.000603
8,685x685,0.000613
8,685x685,0.000599
8,685x685,0.000947
8,685x685,0.000615
8,685x685,0.000765
8,685x685,0.000980
8,685x685,0.000598
8,685x685,0.000612
8,685x685,0.000609
8,685x685,0.000597
