Spheres,Resolution,Time
8,231x231,0.000167
8,231x231,0.000144
8,231x231,0.000134
8,231x231,0.000133
8,231x231,0.000126
8,231x231,0.000122
8,231x231,0.000121
8,231x231,0.000122
8,231x231,0.000120
8,231x231,0.000119
8,231x231,0.000125
8,231x231,0.000147
8,231x231,0.000141
8,231x231,0.000323
8,231x231,0.000189
8,231x231,0.000141
8,231x231,0.000136
8,231x231,0.000273
8,231x231,0.000249
8,231x231,0.000200
8,231x231,0.000197
8,231x231,0.000135
8,231x231,0.000134
8,231x231,0.000139
8,231x231,0.000137
8,231x231,0.000130
8,231x231,0.000131
8,231x231,0.000130
8,231x231,0.000129
8,231x231,0.000135
8,231x231,0.000129
8,231x231,0.000126
8,231x231,0.000125
8,231x231,0.000122
8,231x231,0.000120
8,231x231,0.000122
8,231x231,0.000123
8,231x231,0.000140
8,231x231,0.000131
8,231x231,0.000123
8,231x231,0.000121
8,231x231,0.000121
8,231x231,0.000122
8,231x231,0.000130
8,231x231,0.000133
8,231x231,0.000129
8,231x231,0.000128
8,231x231,0.000127
8,231x231,0.000126
8,231x231,0.000125
