Spheres,Resolution,Time
5,398x398,0.244356
5,398x398,0.244004
5,398x398,0.248241
5,398x398,0.246227
5,398x398,0.259455
5,398x398,0.314802
5,398x398,0.251363
5,398x398,0.243851
5,398x398,0.265123
5,398x398,0.264162
5,398x398,0.276176
5,398x398,0.243642
5,398x398,0.259106
5,398x398,0.255986
5,398x398,0.254407
5,398x398,0.242541
5,398x398,0.290714
5,398x398,0.248180
5,398x398,0.274920
5,398x398,0.273656
5,398x398,0.246714
5,398x398,0.262576
5,398x398,0.247603
5,398x398,0.244380
5,398x398,0.244968
5,398x398,0.242424
5,398x398,0.295332
5,398x398,0.242846
5,398x398,0.245291
5,398x398,0.255608
5,398x398,0.243052
5,398x398,0.292235
5,398x398,0.280674
5,398x398,0.240649
5,398x398,0.269951
5,398x398,0.262052
5,398x398,0.241890
5,398x398,0.243232
5,398x398,0.243034
5,398x398,0.241858
5,398x398,0.242265
5,398x398,0.290283
5,398x398,0.258734
5,398x398,0.244283
5,398x398,0.259823
5,398x398,0.256949
5,398x398,0.260183
5,398x398,0.245371
5,398x398,0.242803
5,398x398,0.243551
