Spheres,Resolution,Time
9,273x273,0.288237
9,273x273,0.291697
9,273x273,0.290748
9,273x273,0.288449
9,273x273,0.291065
9,273x273,0.362456
9,273x273,0.353086
9,273x273,0.287580
9,273x273,0.335461
9,273x273,0.305731
9,273x273,0.322931
9,273x273,0.313723
9,273x273,0.309414
9,273x273,0.319572
9,273x273,0.317969
9,273x273,0.333578
9,273x273,0.300198
9,273x273,0.345620
9,273x273,0.284044
9,273x273,0.287340
9,273x273,0.285518
9,273x273,0.320292
9,273x273,0.341697
9,273x273,0.325965
9,273x273,0.319976
9,273x273,0.313836
9,273x273,0.285974
9,273x273,0.358566
9,273x273,0.367537
9,273x273,0.282522
9,273x273,0.325676
9,273x273,0.318694
9,273x273,0.284365
9,273x273,0.285062
9,273x273,0.314750
9,273x273,0.311964
9,273x273,0.313986
9,273x273,0.288044
9,273x273,0.303059
9,273x273,0.303434
9,273x273,0.334292
9,273x273,0.353073
9,273x273,0.285838
9,273x273,0.317880
9,273x273,0.318090
9,273x273,0.285528
9,273x273,0.301934
9,273x273,0.406526
9,273x273,0.292795
9,273x273,0.285426
