Spheres,Resolution,Time
4,757x757,0.000616
4,757x757,0.000331
4,757x757,0.000312
4,757x757,0.000317
4,757x757,0.000313
4,757x757,0.000314
4,757x757,0.000313
4,757x757,0.000309
4,757x757,0.000303
4,757x757,0.000300
4,757x757,0.000303
4,757x757,0.000298
4,757x757,0.000573
4,757x757,0.000582
4,757x757,0.000409
4,757x757,0.000307
4,757x757,0.000305
4,757x757,0.000313
4,757x757,0.000303
4,757x757,0.000300
4,757x757,0.000307
4,757x757,0.000321
4,757x757,0.000516
4,757x757,0.000319
4,757x757,0.000307
4,757x757,0.000300
4,757x757,0.000303
4,757x757,0.000307
4,757x757,0.000301
4,757x757,0.000296
4,757x757,0.000301
4,757x757,0.000483
4,757x757,0.000503
4,757x757,0.000537
4,757x757,0.000534
4,757x757,0.000309
4,757x757,0.000317
4,757x757,0.000349
4,757x757,0.000485
4,757x757,0.000317
4,757x757,0.000305
4,757x757,0.000295
4,757x757,0.000296
4,757x757,0.000300
4,757x757,0.000296
4,757x757,0.000296
4,757x757,0.000297
4,757x757,0.000294
4,757x757,0.000295
4,757x757,0.000306
