Spheres,Resolution,Time
4,838x838,0.000458
4,838x838,0.000364
4,838x838,0.000374
4,838x838,0.000375
4,838x838,0.000375
4,838x838,0.000399
4,838x838,0.000386
4,838x838,0.000588
4,838x838,0.000629
4,838x838,0.000453
4,838x838,0.000382
4,838x838,0.000379
4,838x838,0.000410
4,838x838,0.000549
4,838x838,0.000389
4,838x838,0.000373
4,838x838,0.000369
4,838x838,0.000370
4,838x838,0.000369
4,838x838,0.000397
4,838x838,0.000405
4,838x838,0.000398
4,838x838,0.000400
4,838x838,0.000397
4,838x838,0.000593
4,838x838,0.000695
4,838x838,0.000571
4,838x838,0.000428
4,838x838,0.000362
4,838x838,0.000358
4,838x838,0.000354
4,838x838,0.000359
4,838x838,0.000362
4,838x838,0.000354
4,838x838,0.000353
4,838x838,0.000353
4,838x838,0.000359
4,838x838,0.000360
4,838x838,0.000363
4,838x838,0.000371
4,838x838,0.000552
4,838x838,0.000725
4,838x838,0.000598
4,838x838,0.000595
4,838x838,0.000370
4,838x838,0.000523
4,838x838,0.000362
4,838x838,0.000354
4,838x838,0.000356
4,838x838,0.000354
