Spheres,Resolution,Time
7,368x368,0.000202
7,368x368,0.000177
7,368x368,0.000171
7,368x368,0.000170
7,368x368,0.000168
7,368x368,0.000170
7,368x368,0.000168
7,368x368,0.000167
7,368x368,0.000167
7,368x368,0.000169
7,368x368,0.000166
7,368x368,0.000171
7,368x368,0.000196
7,368x368,0.000197
7,368x368,0.000197
7,368x368,0.000178
7,368x368,0.000186
7,368x368,0.000298
7,368x368,0.000228
7,368x368,0.000383
7,368x368,0.000276
7,368x368,0.000231
7,368x368,0.000229
7,368x368,0.000204
7,368x368,0.000207
7,368x368,0.000180
7,368x368,0.000195
7,368x368,0.000202
7,368x368,0.000204
7,368x368,0.000204
7,368x368,0.000204
7,368x368,0.000203
7,368x368,0.000207
7,368x368,0.000203
7,368x368,0.000201
7,368x368,0.000204
7,368x368,0.000205
7,368x368,0.000205
7,368x368,0.000198
7,368x368,0.000170
7,368x368,0.000197
7,368x368,0.000198
7,368x368,0.000199
7,368x368,0.000196
7,368x368,0.000170
7,368x368,0.000168
7,368x368,0.000194
7,368x368,0.000165
7,368x368,0.000196
7,368x368,0.000197
