Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   159993     0.00     0.00  Sphere::Sphere()
  0.00      0.00     0.00   159992     0.00     0.00  Traced::Traced()
  0.00      0.00     0.00   157879     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00   157875     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00   157872     0.00     0.00  Vec::operator+=(Vec const&)
  0.00      0.00     0.00   157872     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00      0.00     0.00   157872     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00      0.00     0.00   157872     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float>(float*, float&&)
  0.00      0.00     0.00   157872     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator++()
  0.00      0.00     0.00   157872     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      0.00     0.00   157872     0.00     0.00  bool __gnu_cxx::operator!=<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      0.00     0.00   157872     0.00     0.00  std::vector<float, std::allocator<float> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00   157872     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00      0.00     0.00   157872     0.00     0.00  std::allocator_traits<std::allocator<float> >::deallocate(std::allocator<float>&, float*, unsigned long)
  0.00      0.00     0.00   157872     0.00     0.00  std::allocator_traits<std::allocator<float> >::allocate(std::allocator<float>&, unsigned long)
  0.00      0.00     0.00   157872     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float>(std::allocator<float>&, float*, float&&)
  0.00      0.00     0.00   157872     0.00     0.00  void std::vector<float, std::allocator<float> >::emplace_back<float>(float&&)
  0.00      0.00     0.00   157872     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_realloc_insert<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&)
  0.00      0.00     0.00   157872     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float&&)
  0.00      0.00     0.00   157872     0.00     0.00  std::remove_reference<float&>::type&& std::move<float&>(float&)
  0.00      0.00     0.00   108896     0.00     0.00  float const& std::min<float>(float const&, float const&)
  0.00      0.00     0.00   105248     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) const
  0.00      0.00     0.00    52624     0.00     0.00  pow(Vec const&, float)
  0.00      0.00     0.00    52624     0.00     0.00  Ray::P(float)
  0.00      0.00     0.00    52624     0.00     0.00  Traced::Traced(Sphere, Vec, Vec, Vec)
  0.00      0.00     0.00    52624     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator()
  0.00      0.00     0.00    52624     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00      0.00     0.00    52624     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.00     0.00    52624     0.00     0.00  bool __gnu_cxx::operator==<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      0.00     0.00    52624     0.00     0.00  Sphere::col() const
  0.00      0.00     0.00    52624     0.00     0.00  Sphere::ref() const
  0.00      0.00     0.00    52624     0.00     0.00  std::allocator<float>::allocator()
  0.00      0.00     0.00    52624     0.00     0.00  std::allocator<float>::~allocator()
  0.00      0.00     0.00    52624     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00    52624     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00    52624     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base()
  0.00      0.00     0.00    52624     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00      0.00     0.00    52624     0.00     0.00  std::vector<Sphere, std::allocator<Sphere> >::operator[](unsigned long)
  0.00      0.00     0.00    52624     0.00     0.00  std::vector<float, std::allocator<float> >::vector()
  0.00      0.00     0.00    52624     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00      0.00     0.00    52624     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > std::min_element<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.00      0.00     0.00    52624     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > std::__min_element<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.00     0.00       18     0.00     0.00  std::move_iterator<Sphere*>::base() const
  0.00      0.00     0.00       18     0.00     0.00  Sphere&& std::forward<Sphere>(std::remove_reference<Sphere>::type&)
  0.00      0.00     0.00       12     0.00     0.00  std::vector<Sphere, std::allocator<Sphere> >::size() const
  0.00      0.00     0.00       12     0.00     0.00  std::move_iterator<Sphere*>::move_iterator(Sphere*)
  0.00      0.00     0.00       12     0.00     0.00  std::move_iterator<Sphere*> std::__make_move_if_noexcept_iterator<Sphere, std::move_iterator<Sphere*> >(Sphere*)
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<Sphere, std::allocator<Sphere> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<Sphere>::max_size() const
  0.00      0.00     0.00        9     0.00     0.00  bool std::operator==<Sphere*>(std::move_iterator<Sphere*> const&, std::move_iterator<Sphere*> const&)
  0.00      0.00     0.00        9     0.00     0.00  bool std::operator!=<Sphere*>(std::move_iterator<Sphere*> const&, std::move_iterator<Sphere*> const&)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<Sphere, std::allocator<Sphere> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        6     0.00     0.00  std::vector<Sphere, std::allocator<Sphere> >::max_size() const
  0.00      0.00     0.00        6     0.00     0.00  std::allocator_traits<std::allocator<Sphere> >::max_size(std::allocator<Sphere> const&)
  0.00      0.00     0.00        6     0.00     0.00  Sphere* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Sphere*>, Sphere*>(std::move_iterator<Sphere*>, std::move_iterator<Sphere*>, Sphere*)
  0.00      0.00     0.00        6     0.00     0.00  Sphere* std::uninitialized_copy<std::move_iterator<Sphere*>, Sphere*>(std::move_iterator<Sphere*>, std::move_iterator<Sphere*>, Sphere*)
  0.00      0.00     0.00        6     0.00     0.00  Sphere* std::__uninitialized_copy_a<std::move_iterator<Sphere*>, Sphere*, Sphere>(std::move_iterator<Sphere*>, std::move_iterator<Sphere*>, Sphere*, std::allocator<Sphere>&)
  0.00      0.00     0.00        6     0.00     0.00  Sphere* std::__uninitialized_move_if_noexcept_a<Sphere*, Sphere*, std::allocator<Sphere> >(Sphere*, Sphere*, Sphere*, std::allocator<Sphere>&)
  0.00      0.00     0.00        4     0.00     0.00  Sphere::Sphere(Vec const&, float, Vec const&, float)
  0.00      0.00     0.00        4     0.00     0.00  void __gnu_cxx::new_allocator<Sphere>::construct<Sphere, Sphere>(Sphere*, Sphere&&)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Sphere*>(Sphere*, Sphere*)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Sphere, std::allocator<Sphere> >::_M_deallocate(Sphere*, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  void std::allocator_traits<std::allocator<Sphere> >::construct<Sphere, Sphere>(std::allocator<Sphere>&, Sphere*, Sphere&&)
  0.00      0.00     0.00        4     0.00     0.00  void std::vector<Sphere, std::allocator<Sphere> >::emplace_back<Sphere>(Sphere&&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Sphere, std::allocator<Sphere> >::push_back(Sphere&&)
  0.00      0.00     0.00        4     0.00     0.00  std::remove_reference<Sphere&>::type&& std::move<Sphere&>(Sphere&)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy<Sphere*>(Sphere*, Sphere*)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy<Sphere*, Sphere>(Sphere*, Sphere*, std::allocator<Sphere>&)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<Sphere>::deallocate(Sphere*, unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<Sphere>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >::difference_type __gnu_cxx::operator-<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >(__gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > > const&, __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > > const&)
  0.00      0.00     0.00        3     0.00     0.00  std::move_iterator<Sphere*>::operator*() const
  0.00      0.00     0.00        3     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00      0.00     0.00        3     0.00     0.00  std::vector<Sphere, std::allocator<Sphere> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<Sphere, std::allocator<Sphere> >::_M_allocate(unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  std::move_iterator<Sphere*>::operator++()
  0.00      0.00     0.00        3     0.00     0.00  std::allocator_traits<std::allocator<Sphere> >::deallocate(std::allocator<Sphere>&, Sphere*, unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  std::allocator_traits<std::allocator<Sphere> >::allocate(std::allocator<Sphere>&, unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  void std::vector<Sphere, std::allocator<Sphere> >::_M_realloc_insert<Sphere>(__gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >, Sphere&&)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Construct<Sphere, Sphere>(Sphere*, Sphere&&)
  0.00      0.00     0.00        3     0.00     0.00  Sphere* std::__addressof<Sphere>(Sphere&)
  0.00      0.00     0.00        2     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00      0.00     0.00        2     0.00     0.00  std::chrono::duration<double, std::ratio<1l, 1l> >::count() const
  0.00      0.00     0.00        1     0.00     0.00  run()
  0.00      0.00     0.00        1     0.00     0.00  makeScene(int, std::vector<Sphere, std::allocator<Sphere> >&)
