Spheres,Resolution,Time
1,1118x1118,0.000403
1,1118x1118,0.000506
1,1118x1118,0.000516
1,1118x1118,0.000350
1,1118x1118,0.000285
1,1118x1118,0.000278
1,1118x1118,0.000284
1,1118x1118,0.000288
1,1118x1118,0.000307
1,1118x1118,0.000302
1,1118x1118,0.000300
1,1118x1118,0.000307
1,1118x1118,0.000293
1,1118x1118,0.000491
1,1118x1118,0.000294
1,1118x1118,0.000284
1,1118x1118,0.000283
1,1118x1118,0.000287
1,1118x1118,0.000296
1,1118x1118,0.000307
1,1118x1118,0.000295
1,1118x1118,0.000295
1,1118x1118,0.000293
1,1118x1118,0.000686
1,1118x1118,0.000499
1,1118x1118,0.000350
1,1118x1118,0.000338
1,1118x1118,0.000331
1,1118x1118,0.000340
1,1118x1118,0.000292
1,1118x1118,0.000297
1,1118x1118,0.000287
1,1118x1118,0.000291
1,1118x1118,0.000365
1,1118x1118,0.000282
1,1118x1118,0.000283
1,1118x1118,0.000284
1,1118x1118,0.000285
1,1118x1118,0.000291
1,1118x1118,0.000298
1,1118x1118,0.000297
1,1118x1118,0.000295
1,1118x1118,0.000289
1,1118x1118,0.000287
1,1118x1118,0.000422
1,1118x1118,0.000687
1,1118x1118,0.000385
1,1118x1118,0.000284
1,1118x1118,0.000287
1,1118x1118,0.000299
