Spheres,Resolution,Time
1,96x96,0.002312
1,96x96,0.002305
1,96x96,0.002326
1,96x96,0.002914
1,96x96,0.002748
1,96x96,0.002231
1,96x96,0.002203
1,96x96,0.002233
1,96x96,0.002213
1,96x96,0.002234
1,96x96,0.002211
1,96x96,0.002187
1,96x96,0.002190
1,96x96,0.002197
1,96x96,0.002272
1,96x96,0.002190
1,96x96,0.002257
1,96x96,0.002218
1,96x96,0.002378
1,96x96,0.002236
1,96x96,0.002163
1,96x96,0.002174
1,96x96,0.002246
1,96x96,0.002397
1,96x96,0.002244
1,96x96,0.002187
1,96x96,0.002171
1,96x96,0.002239
1,96x96,0.002205
1,96x96,0.002168
1,96x96,0.002213
1,96x96,0.002234
1,96x96,0.002551
1,96x96,0.002192
1,96x96,0.002141
1,96x96,0.002198
1,96x96,0.002245
1,96x96,0.002250
1,96x96,0.002201
1,96x96,0.002202
1,96x96,0.002255
1,96x96,0.002223
1,96x96,0.002200
1,96x96,0.002140
1,96x96,0.002262
1,96x96,0.002220
1,96x96,0.002228
1,96x96,0.002194
1,96x96,0.002295
1,96x96,0.002231
