Spheres,Resolution,Time
6,544x544,0.000320
6,544x544,0.000267
6,544x544,0.000280
6,544x544,0.000301
6,544x544,0.000565
6,544x544,0.000471
6,544x544,0.000349
6,544x544,0.000332
6,544x544,0.000337
6,544x544,0.000335
6,544x544,0.000277
6,544x544,0.000276
6,544x544,0.000287
6,544x544,0.000275
6,544x544,0.000456
6,544x544,0.000268
6,544x544,0.000267
6,544x544,0.000265
6,544x544,0.000270
6,544x544,0.000269
6,544x544,0.000265
6,544x544,0.000263
6,544x544,0.000265
6,544x544,0.000264
6,544x544,0.000266
6,544x544,0.000265
6,544x544,0.000476
6,544x544,0.000506
6,544x544,0.000360
6,544x544,0.000313
6,544x544,0.000335
6,544x544,0.000269
6,544x544,0.000275
6,544x544,0.000271
6,544x544,0.000459
6,544x544,0.000270
6,544x544,0.000267
6,544x544,0.000270
6,544x544,0.000261
6,544x544,0.000260
6,544x544,0.000261
6,544x544,0.000260
6,544x544,0.000260
6,544x544,0.000260
6,544x544,0.000260
6,544x544,0.000260
6,544x544,0.000260
6,544x544,0.000260
6,544x544,0.000268
6,544x544,0.000477
