Spheres,Resolution,Time
6,736x736,0.000557
6,736x736,0.000479
6,736x736,0.000480
6,736x736,0.000484
6,736x736,0.000825
6,736x736,0.000530
6,736x736,0.000482
6,736x736,0.000479
6,736x736,0.000479
6,736x736,0.000478
6,736x736,0.000459
6,736x736,0.000490
6,736x736,0.000738
6,736x736,0.000497
6,736x736,0.000491
6,736x736,0.000490
6,736x736,0.000464
6,736x736,0.000669
6,736x736,0.000723
6,736x736,0.000531
6,736x736,0.000484
6,736x736,0.000484
6,736x736,0.000484
6,736x736,0.000452
6,736x736,0.000672
6,736x736,0.000527
6,736x736,0.000489
6,736x736,0.000458
6,736x736,0.000651
6,736x736,0.000725
6,736x736,0.000527
6,736x736,0.000489
6,736x736,0.000483
6,736x736,0.000484
6,736x736,0.000487
6,736x736,0.000487
6,736x736,0.000470
6,736x736,0.000652
6,736x736,0.000514
6,736x736,0.000478
6,736x736,0.000481
6,736x736,0.000481
6,736x736,0.000483
6,736x736,0.000478
6,736x736,0.000473
6,736x736,0.000479
6,736x736,0.000473
6,736x736,0.000482
6,736x736,0.000459
6,736x736,0.000454
