Spheres,Resolution,Time
3,726x726,0.000260
3,726x726,0.000228
3,726x726,0.000219
3,726x726,0.000403
3,726x726,0.000287
3,726x726,0.000311
3,726x726,0.000267
3,726x726,0.000238
3,726x726,0.000231
3,726x726,0.000224
3,726x726,0.000216
3,726x726,0.000213
3,726x726,0.000214
3,726x726,0.000216
3,726x726,0.000217
3,726x726,0.000227
3,726x726,0.000234
3,726x726,0.000238
3,726x726,0.000233
3,726x726,0.000427
3,726x726,0.000228
3,726x726,0.000217
3,726x726,0.000212
3,726x726,0.000210
3,726x726,0.000216
3,726x726,0.000231
3,726x726,0.000229
3,726x726,0.000222
3,726x726,0.000214
3,726x726,0.000218
3,726x726,0.000212
3,726x726,0.000212
3,726x726,0.000423
3,726x726,0.000427
3,726x726,0.000295
3,726x726,0.000267
3,726x726,0.000280
3,726x726,0.000217
3,726x726,0.000220
3,726x726,0.000215
3,726x726,0.000215
3,726x726,0.000219
3,726x726,0.000221
3,726x726,0.000218
3,726x726,0.000383
3,726x726,0.000224
3,726x726,0.000215
3,726x726,0.000208
3,726x726,0.000209
3,726x726,0.000213
