Spheres,Resolution,Time
5,475x475,0.000279
5,475x475,0.000197
5,475x475,0.000212
5,475x475,0.000189
5,475x475,0.000183
5,475x475,0.000189
5,475x475,0.000190
5,475x475,0.000184
5,475x475,0.000184
5,475x475,0.000185
5,475x475,0.000180
5,475x475,0.000190
5,475x475,0.000190
5,475x475,0.000185
5,475x475,0.000193
5,475x475,0.000201
5,475x475,0.000368
5,475x475,0.000195
5,475x475,0.000187
5,475x475,0.000185
5,475x475,0.000186
5,475x475,0.000200
5,475x475,0.000184
5,475x475,0.000238
5,475x475,0.000188
5,475x475,0.000181
5,475x475,0.000178
5,475x475,0.000176
5,475x475,0.000175
5,475x475,0.000207
5,475x475,0.000205
5,475x475,0.000260
5,475x475,0.000387
5,475x475,0.000264
5,475x475,0.000236
5,475x475,0.000246
5,475x475,0.000232
5,475x475,0.000186
5,475x475,0.000180
5,475x475,0.000186
5,475x475,0.000190
5,475x475,0.000186
5,475x475,0.000191
5,475x475,0.000191
5,475x475,0.000192
5,475x475,0.000189
5,475x475,0.000188
5,475x475,0.000191
5,475x475,0.000191
5,475x475,0.000192
