Spheres,Resolution,Time
5,529x529,0.000313
5,529x529,0.000226
5,529x529,0.000215
5,529x529,0.000212
5,529x529,0.000216
5,529x529,0.000419
5,529x529,0.000215
5,529x529,0.000209
5,529x529,0.000209
5,529x529,0.000215
5,529x529,0.000216
5,529x529,0.000214
5,529x529,0.000223
5,529x529,0.000218
5,529x529,0.000243
5,529x529,0.000240
5,529x529,0.000239
5,529x529,0.000208
5,529x529,0.000208
5,529x529,0.000204
5,529x529,0.000207
5,529x529,0.000426
5,529x529,0.000417
5,529x529,0.000304
5,529x529,0.000262
5,529x529,0.000273
5,529x529,0.000204
5,529x529,0.000207
5,529x529,0.000204
5,529x529,0.000203
5,529x529,0.000205
5,529x529,0.000217
5,529x529,0.000240
5,529x529,0.000237
5,529x529,0.000225
5,529x529,0.000415
5,529x529,0.000225
5,529x529,0.000220
5,529x529,0.000243
5,529x529,0.000223
5,529x529,0.000229
5,529x529,0.000236
5,529x529,0.000223
5,529x529,0.000223
5,529x529,0.000213
5,529x529,0.000214
5,529x529,0.000212
5,529x529,0.000215
5,529x529,0.000214
5,529x529,0.000428
