Spheres,Resolution,Time
6,97x97,0.021193
6,97x97,0.020449
6,97x97,0.040503
6,97x97,0.021908
6,97x97,0.019448
6,97x97,0.018755
6,97x97,0.019363
6,97x97,0.018729
6,97x97,0.018811
6,97x97,0.018409
6,97x97,0.018649
6,97x97,0.019314
6,97x97,0.018688
6,97x97,0.030396
6,97x97,0.040776
6,97x97,0.018874
6,97x97,0.018880
6,97x97,0.018836
6,97x97,0.018836
6,97x97,0.018840
6,97x97,0.018640
6,97x97,0.018866
6,97x97,0.018925
6,97x97,0.018703
6,97x97,0.019129
6,97x97,0.018718
6,97x97,0.018732
6,97x97,0.019870
6,97x97,0.019022
6,97x97,0.020370
6,97x97,0.019299
6,97x97,0.019035
6,97x97,0.020363
6,97x97,0.019647
6,97x97,0.019274
6,97x97,0.018779
6,97x97,0.018217
6,97x97,0.018534
6,97x97,0.029817
6,97x97,0.029138
6,97x97,0.021657
6,97x97,0.018561
6,97x97,0.018807
6,97x97,0.018478
6,97x97,0.018319
6,97x97,0.018419
6,97x97,0.018732
6,97x97,0.018992
6,97x97,0.018826
6,97x97,0.018907
