Spheres,Resolution,Time
2,14x14,0.000099
2,14x14,0.000092
2,14x14,0.000097
2,14x14,0.000091
2,14x14,0.000090
2,14x14,0.000091
2,14x14,0.000091
2,14x14,0.000091
2,14x14,0.000090
2,14x14,0.000090
2,14x14,0.000090
2,14x14,0.000089
2,14x14,0.000089
2,14x14,0.000093
2,14x14,0.000089
2,14x14,0.000091
2,14x14,0.000090
2,14x14,0.000090
2,14x14,0.000089
2,14x14,0.000089
2,14x14,0.000091
2,14x14,0.000090
2,14x14,0.000090
2,14x14,0.000090
2,14x14,0.000135
2,14x14,0.000120
2,14x14,0.000100
2,14x14,0.000089
2,14x14,0.000090
2,14x14,0.000089
2,14x14,0.000091
2,14x14,0.000090
2,14x14,0.000091
2,14x14,0.000093
2,14x14,0.000090
2,14x14,0.000093
2,14x14,0.000094
2,14x14,0.000092
2,14x14,0.000091
2,14x14,0.000090
2,14x14,0.000092
2,14x14,0.000091
2,14x14,0.000091
2,14x14,0.000093
2,14x14,0.000090
2,14x14,0.000090
2,14x14,0.000092
2,14x14,0.000090
2,14x14,0.000091
2,14x14,0.000095
