Spheres,Resolution,Time
2,391x391,0.070780
2,391x391,0.068487
2,391x391,0.069284
2,391x391,0.076588
2,391x391,0.088027
2,391x391,0.066468
2,391x391,0.068687
2,391x391,0.091884
2,391x391,0.074317
2,391x391,0.069711
2,391x391,0.068020
2,391x391,0.067136
2,391x391,0.067853
2,391x391,0.095411
2,391x391,0.069520
2,391x391,0.070529
2,391x391,0.069139
2,391x391,0.069593
2,391x391,0.068958
2,391x391,0.068984
2,391x391,0.069537
2,391x391,0.069210
2,391x391,0.070622
2,391x391,0.069547
2,391x391,0.069371
2,391x391,0.068885
2,391x391,0.069731
2,391x391,0.067887
2,391x391,0.066915
2,391x391,0.086808
2,391x391,0.109727
2,391x391,0.075347
2,391x391,0.067924
2,391x391,0.066914
2,391x391,0.068325
2,391x391,0.067919
2,391x391,0.067494
2,391x391,0.072926
2,391x391,0.087532
2,391x391,0.067467
2,391x391,0.067637
2,391x391,0.092609
2,391x391,0.071640
2,391x391,0.072759
2,391x391,0.066168
2,391x391,0.066385
2,391x391,0.066807
2,391x391,0.067104
2,391x391,0.068417
2,391x391,0.071779
