Spheres,Resolution,Time
2,56x56,0.001731
2,56x56,0.001378
2,56x56,0.001696
2,56x56,0.001668
2,56x56,0.001390
2,56x56,0.001498
2,56x56,0.001995
2,56x56,0.001392
2,56x56,0.001393
2,56x56,0.001410
2,56x56,0.001394
2,56x56,0.001752
2,56x56,0.001400
2,56x56,0.001393
2,56x56,0.001386
2,56x56,0.001437
2,56x56,0.001477
2,56x56,0.001578
2,56x56,0.001642
2,56x56,0.001387
2,56x56,0.001584
2,56x56,0.001438
2,56x56,0.001378
2,56x56,0.001379
2,56x56,0.001378
2,56x56,0.001399
2,56x56,0.001383
2,56x56,0.001374
2,56x56,0.001393
2,56x56,0.001374
2,56x56,0.001425
2,56x56,0.001379
2,56x56,0.001423
2,56x56,0.001412
2,56x56,0.001397
2,56x56,0.001374
2,56x56,0.001401
2,56x56,0.001369
2,56x56,0.001401
2,56x56,0.001371
2,56x56,0.001400
2,56x56,0.001401
2,56x56,0.001371
2,56x56,0.001409
2,56x56,0.001426
2,56x56,0.001425
2,56x56,0.001444
2,56x56,0.001370
2,56x56,0.001404
2,56x56,0.001371
