Spheres,Resolution,Time
2,930x930,0.000356
2,930x930,0.000254
2,930x930,0.000245
2,930x930,0.000244
2,930x930,0.000250
2,930x930,0.000257
2,930x930,0.000250
2,930x930,0.000251
2,930x930,0.000422
2,930x930,0.000454
2,930x930,0.000308
2,930x930,0.000256
2,930x930,0.000255
2,930x930,0.000246
2,930x930,0.000248
2,930x930,0.000243
2,930x930,0.000252
2,930x930,0.000254
2,930x930,0.000246
2,930x930,0.000249
2,930x930,0.000245
2,930x930,0.000244
2,930x930,0.000239
2,930x930,0.000240
2,930x930,0.000244
2,930x930,0.000264
2,930x930,0.000254
2,930x930,0.000249
2,930x930,0.000440
2,930x930,0.000341
2,930x930,0.000291
2,930x930,0.000297
2,930x930,0.000242
2,930x930,0.000255
2,930x930,0.000451
2,930x930,0.000291
2,930x930,0.000250
2,930x930,0.000247
2,930x930,0.000242
2,930x930,0.000247
2,930x930,0.000248
2,930x930,0.000245
2,930x930,0.000250
2,930x930,0.000443
2,930x930,0.000336
2,930x930,0.000293
2,930x930,0.000298
2,930x930,0.000240
2,930x930,0.000238
2,930x930,0.000236
