Spheres,Resolution,Time
2,760x760,0.000198
2,760x760,0.000167
2,760x760,0.000164
2,760x760,0.000164
2,760x760,0.000163
2,760x760,0.000163
2,760x760,0.000168
2,760x760,0.000171
2,760x760,0.000164
2,760x760,0.000182
2,760x760,0.000175
2,760x760,0.000170
2,760x760,0.000299
2,760x760,0.000220
2,760x760,0.000377
2,760x760,0.000277
2,760x760,0.000273
2,760x760,0.000191
2,760x760,0.000183
2,760x760,0.000178
2,760x760,0.000181
2,760x760,0.000181
2,760x760,0.000173
2,760x760,0.000170
2,760x760,0.000164
2,760x760,0.000163
2,760x760,0.000163
2,760x760,0.000166
2,760x760,0.000163
2,760x760,0.000162
2,760x760,0.000163
2,760x760,0.000163
2,760x760,0.000165
2,760x760,0.000169
2,760x760,0.000165
2,760x760,0.000163
2,760x760,0.000163
2,760x760,0.000163
2,760x760,0.000163
2,760x760,0.000163
2,760x760,0.000162
2,760x760,0.000163
2,760x760,0.000162
2,760x760,0.000163
2,760x760,0.000164
2,760x760,0.000163
2,760x760,0.000162
2,760x760,0.000167
2,760x760,0.000169
2,760x760,0.000381
