Spheres,Resolution,Time
7,742x742,0.000592
7,742x742,0.000565
7,742x742,0.000557
7,742x742,0.000559
7,742x742,0.000554
7,742x742,0.000559
7,742x742,0.000567
7,742x742,0.000560
7,742x742,0.000559
7,742x742,0.000578
7,742x742,0.000604
7,742x742,0.000603
7,742x742,0.000794
7,742x742,0.000999
7,742x742,0.000560
7,742x742,0.000560
7,742x742,0.000557
7,742x742,0.000555
7,742x742,0.000554
7,742x742,0.000766
7,742x742,0.000615
7,742x742,0.000579
7,742x742,0.001105
7,742x742,0.000615
7,742x742,0.000560
7,742x742,0.000561
7,742x742,0.000560
7,742x742,0.000557
7,742x742,0.000555
7,742x742,0.000553
7,742x742,0.000786
7,742x742,0.000610
7,742x742,0.000573
7,742x742,0.000569
7,742x742,0.000593
7,742x742,0.000585
7,742x742,0.000576
7,742x742,0.000588
7,742x742,0.000565
7,742x742,0.000584
7,742x742,0.000562
7,742x742,0.001017
7,742x742,0.000840
7,742x742,0.000778
7,742x742,0.000591
7,742x742,0.000564
7,742x742,0.000574
7,742x742,0.000570
7,742x742,0.000570
7,742x742,0.000570
