Spheres,Resolution,Time
1,2480x2480,0.001352
1,2480x2480,0.001277
1,2480x2480,0.001525
1,2480x2480,0.001325
1,2480x2480,0.001273
1,2480x2480,0.002044
1,2480x2480,0.001296
1,2480x2480,0.001681
1,2480x2480,0.001797
1,2480x2480,0.001326
1,2480x2480,0.001263
1,2480x2480,0.001263
1,2480x2480,0.001623
1,2480x2480,0.001289
1,2480x2480,0.001272
1,2480x2480,0.001274
1,2480x2480,0.001271
1,2480x2480,0.001267
1,2480x2480,0.001272
1,2480x2480,0.001267
1,2480x2480,0.001268
1,2480x2480,0.001299
1,2480x2480,0.001272
1,2480x2480,0.001273
1,2480x2480,0.001273
1,2480x2480,0.001274
1,2480x2480,0.001280
1,2480x2480,0.001269
1,2480x2480,0.001306
1,2480x2480,0.001295
1,2480x2480,0.001295
1,2480x2480,0.001297
1,2480x2480,0.001306
1,2480x2480,0.001306
1,2480x2480,0.001297
1,2480x2480,0.001309
1,2480x2480,0.001298
1,2480x2480,0.001327
1,2480x2480,0.001287
1,2480x2480,0.001314
1,2480x2480,0.001311
1,2480x2480,0.001311
1,2480x2480,0.001310
1,2480x2480,0.001313
1,2480x2480,0.001294
1,2480x2480,0.001291
1,2480x2480,0.001308
1,2480x2480,0.001303
1,2480x2480,0.001305
1,2480x2480,0.001276
