Spheres,Resolution,Time
1,866x866,0.000228
1,866x866,0.000197
1,866x866,0.000183
1,866x866,0.000178
1,866x866,0.000178
1,866x866,0.000285
1,866x866,0.000210
1,866x866,0.000330
1,866x866,0.000249
1,866x866,0.000394
1,866x866,0.000291
1,866x866,0.000269
1,866x866,0.000186
1,866x866,0.000181
1,866x866,0.000180
1,866x866,0.000184
1,866x866,0.000196
1,866x866,0.000187
1,866x866,0.000186
1,866x866,0.000183
1,866x866,0.000185
1,866x866,0.000188
1,866x866,0.000183
1,866x866,0.000181
1,866x866,0.000180
1,866x866,0.000180
1,866x866,0.000180
1,866x866,0.000183
1,866x866,0.000180
1,866x866,0.000180
1,866x866,0.000179
1,866x866,0.000180
1,866x866,0.000186
1,866x866,0.000184
1,866x866,0.000183
1,866x866,0.000179
1,866x866,0.000180
1,866x866,0.000181
1,866x866,0.000198
1,866x866,0.000211
1,866x866,0.000194
1,866x866,0.000405
1,866x866,0.000274
1,866x866,0.000206
1,866x866,0.000207
1,866x866,0.000192
1,866x866,0.000331
1,866x866,0.000287
1,866x866,0.000237
1,866x866,0.000238
