Spheres,Resolution,Time
1,568x568,0.000200
1,568x568,0.000125
1,568x568,0.000118
1,568x568,0.000110
1,568x568,0.000110
1,568x568,0.000108
1,568x568,0.000108
1,568x568,0.000108
1,568x568,0.000109
1,568x568,0.000129
1,568x568,0.000166
1,568x568,0.000135
1,568x568,0.000122
1,568x568,0.000120
1,568x568,0.000117
1,568x568,0.000120
1,568x568,0.000117
1,568x568,0.000121
1,568x568,0.000119
1,568x568,0.000117
1,568x568,0.000118
1,568x568,0.000121
1,568x568,0.000126
1,568x568,0.000119
1,568x568,0.000119
1,568x568,0.000118
1,568x568,0.000367
1,568x568,0.000201
1,568x568,0.000229
1,568x568,0.000178
1,568x568,0.000129
1,568x568,0.000129
1,568x568,0.000124
1,568x568,0.000124
1,568x568,0.000275
1,568x568,0.000129
1,568x568,0.000126
1,568x568,0.000124
1,568x568,0.000131
1,568x568,0.000123
1,568x568,0.000121
1,568x568,0.000123
1,568x568,0.000114
1,568x568,0.000112
1,568x568,0.000115
1,568x568,0.000116
1,568x568,0.000113
1,568x568,0.000113
1,568x568,0.000113
1,568x568,0.000112
