Spheres,Resolution,Time
1,634x634,0.000301
1,634x634,0.000183
1,634x634,0.000172
1,634x634,0.000180
1,634x634,0.000161
1,634x634,0.000148
1,634x634,0.000149
1,634x634,0.000155
1,634x634,0.000147
1,634x634,0.000146
1,634x634,0.000152
1,634x634,0.000146
1,634x634,0.000145
1,634x634,0.000151
1,634x634,0.000152
1,634x634,0.000143
1,634x634,0.000147
1,634x634,0.000146
1,634x634,0.000143
1,634x634,0.000144
1,634x634,0.000153
1,634x634,0.000152
1,634x634,0.000147
1,634x634,0.000147
1,634x634,0.000131
1,634x634,0.000135
1,634x634,0.000140
1,634x634,0.000142
1,634x634,0.000140
1,634x634,0.000150
1,634x634,0.000152
1,634x634,0.000166
1,634x634,0.000168
1,634x634,0.000153
1,634x634,0.000147
1,634x634,0.000154
1,634x634,0.001172
1,634x634,0.000329
1,634x634,0.000214
1,634x634,0.000235
1,634x634,0.000196
1,634x634,0.000246
1,634x634,0.000264
1,634x634,0.000208
1,634x634,0.000211
1,634x634,0.000143
1,634x634,0.000136
1,634x634,0.000138
1,634x634,0.000144
1,634x634,0.000143
