Spheres,Resolution,Time
4,220x220,0.054410
4,220x220,0.087435
4,220x220,0.060825
4,220x220,0.054768
4,220x220,0.069957
4,220x220,0.053900
4,220x220,0.053852
4,220x220,0.053944
4,220x220,0.056629
4,220x220,0.053807
4,220x220,0.066135
4,220x220,0.066126
4,220x220,0.060461
4,220x220,0.055997
4,220x220,0.053120
4,220x220,0.054018
4,220x220,0.052754
4,220x220,0.054719
4,220x220,0.053422
4,220x220,0.056351
4,220x220,0.056443
4,220x220,0.053752
4,220x220,0.053016
4,220x220,0.055360
4,220x220,0.055793
4,220x220,0.059297
4,220x220,0.054925
4,220x220,0.057001
4,220x220,0.059727
4,220x220,0.069557
4,220x220,0.055954
4,220x220,0.054415
4,220x220,0.053844
4,220x220,0.053425
4,220x220,0.054464
4,220x220,0.054024
4,220x220,0.063007
4,220x220,0.053888
4,220x220,0.054569
4,220x220,0.054484
4,220x220,0.053778
4,220x220,0.052923
4,220x220,0.054425
4,220x220,0.054026
4,220x220,0.058832
4,220x220,0.086446
4,220x220,0.053422
4,220x220,0.054593
4,220x220,0.061657
4,220x220,0.072018
