Spheres,Resolution,Time
4,69x69,0.006120
4,69x69,0.005139
4,69x69,0.005287
4,69x69,0.004907
4,69x69,0.005015
4,69x69,0.005123
4,69x69,0.005119
4,69x69,0.004847
4,69x69,0.014131
4,69x69,0.011480
4,69x69,0.008560
4,69x69,0.012960
4,69x69,0.005470
4,69x69,0.005113
4,69x69,0.004861
4,69x69,0.005183
4,69x69,0.005171
4,69x69,0.005292
4,69x69,0.004899
4,69x69,0.005218
4,69x69,0.005063
4,69x69,0.005056
4,69x69,0.004934
4,69x69,0.005021
4,69x69,0.005140
4,69x69,0.004856
4,69x69,0.006513
4,69x69,0.005221
4,69x69,0.005040
4,69x69,0.004943
4,69x69,0.005017
4,69x69,0.005553
4,69x69,0.004957
4,69x69,0.004924
4,69x69,0.007218
4,69x69,0.005219
4,69x69,0.005149
4,69x69,0.005006
4,69x69,0.004921
4,69x69,0.005051
4,69x69,0.006994
4,69x69,0.005070
4,69x69,0.004977
4,69x69,0.004932
4,69x69,0.004924
4,69x69,0.004994
4,69x69,0.004933
4,69x69,0.005585
4,69x69,0.005090
4,69x69,0.005276
