Spheres,Resolution,Time
4,98x98,0.010084
4,98x98,0.010413
4,98x98,0.012503
4,98x98,0.010580
4,98x98,0.010236
4,98x98,0.010470
4,98x98,0.014437
4,98x98,0.011128
4,98x98,0.010012
4,98x98,0.016093
4,98x98,0.010209
4,98x98,0.010044
4,98x98,0.010392
4,98x98,0.010386
4,98x98,0.010034
4,98x98,0.010006
4,98x98,0.012235
4,98x98,0.010287
4,98x98,0.010004
4,98x98,0.010131
4,98x98,0.011965
4,98x98,0.010045
4,98x98,0.010121
4,98x98,0.010135
4,98x98,0.012703
4,98x98,0.010082
4,98x98,0.010021
4,98x98,0.011903
4,98x98,0.023152
4,98x98,0.025923
4,98x98,0.023477
4,98x98,0.022507
4,98x98,0.014644
4,98x98,0.015158
4,98x98,0.010335
4,98x98,0.010238
4,98x98,0.009990
4,98x98,0.010473
4,98x98,0.010468
4,98x98,0.010378
4,98x98,0.009954
4,98x98,0.012288
4,98x98,0.010189
4,98x98,0.010025
4,98x98,0.009994
4,98x98,0.012505
4,98x98,0.010253
4,98x98,0.010146
4,98x98,0.011132
4,98x98,0.010839
